,n4,Pc_val,depth,equation,expected_cd4,expected_cd8,cd4_cd4_calculated,cd8_cd8_calculated
47,58.38826924388395,0.6886573770247184,3,"CD8_0, CD8_3",31.0,0.0,30.99999999999999,1.0547118733938987e-15
48,58.38826924388395,0.6886573770247184,3,"CD8_0, CD8_3",31.0,0.0,30.99999999999999,1.0547118733938987e-15
49,5.790016233512812,0.19416816961599895,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999998,0.7746041093141917
50,5.790016233512812,0.19416816961599895,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999998,0.7746041093141917
51,5.790016233512812,0.19416816961599895,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999998,0.7746041093141917
52,5.790016233512812,0.19416816961599895,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999998,0.7746041093141917
53,16.209983766487085,0.8058318303840011,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999938,0.7746041093142056
54,16.209983766487085,0.8058318303840011,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999938,0.7746041093142056
55,16.209983766487085,0.8058318303840011,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999938,0.7746041093142056
56,16.209983766487085,0.8058318303840011,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999938,0.7746041093142056
57,16.209983766487085,0.8058318303840011,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999938,0.7746041093142056
58,16.209983766487085,0.8058318303840011,4,"CD8_0, CD8_1",10.0,0.0,9.999999999999938,0.7746041093142056
59,2.6899184196707298,0.25224025864423755,4,"CD8_0, CD8_3",10.0,0.0,9.999999999999998,0.21192720921182276
60,2.6899184196707298,0.25224025864423755,4,"CD8_0, CD8_3",10.0,0.0,9.999999999999998,0.21192720921182276
61,2.6899184196707298,0.25224025864423755,4,"CD8_0, CD8_3",10.0,0.0,9.999999999999998,0.21192720921182276
62,2.6899184196707298,0.25224025864423755,4,"CD8_0, CD8_3",10.0,0.0,9.999999999999998,0.21192720921182276
63,19.31008158032923,0.7477597413557625,4,"CD8_0, CD8_3",10.0,0.0,9.99999999999998,0.2119272092118261
64,19.31008158032923,0.7477597413557625,4,"CD8_0, CD8_3",10.0,0.0,9.99999999999998,0.2119272092118261
65,19.31008158032923,0.7477597413557625,4,"CD8_0, CD8_3",10.0,0.0,9.99999999999998,0.2119272092118261
66,19.31008158032923,0.7477597413557625,4,"CD8_0, CD8_3",10.0,0.0,9.99999999999998,0.2119272092118261
67,19.31008158032923,0.7477597413557625,4,"CD8_0, CD8_3",10.0,0.0,9.99999999999998,0.2119272092118261
68,19.31008158032923,0.7477597413557625,4,"CD8_0, CD8_3",10.0,0.0,9.99999999999998,0.2119272092118261
69,-0.1930707717599599,0.2922395569222396,4,"CD8_0, CD8_4",10.0,0.0,10.0,-6.938893903907228e-18
70,-0.1930707717599599,0.2922395569222396,4,"CD8_0, CD8_4",10.0,0.0,10.0,-6.938893903907228e-18
71,-0.1930707717599599,0.2922395569222396,4,"CD8_0, CD8_4",10.0,0.0,10.0,-6.938893903907228e-18
72,-0.1930707717599599,0.2922395569222396,4,"CD8_0, CD8_4",10.0,0.0,10.0,-6.938893903907228e-18
73,22.19307077175994,0.7077604430777604,4,"CD8_0, CD8_4",10.0,0.0,9.999999999999991,1.1258355359089478e-15
74,22.19307077175994,0.7077604430777604,4,"CD8_0, CD8_4",10.0,0.0,9.999999999999991,1.1258355359089478e-15
75,22.19307077175994,0.7077604430777604,4,"CD8_0, CD8_4",10.0,0.0,9.999999999999991,1.1258355359089478e-15
76,22.19307077175994,0.7077604430777604,4,"CD8_0, CD8_4",10.0,0.0,9.999999999999991,1.1258355359089478e-15
77,22.19307077175994,0.7077604430777604,4,"CD8_0, CD8_4",10.0,0.0,9.999999999999991,1.1258355359089478e-15
