n4,value,method
363,0.9349975057467742,cd4-cd4
363,0.9349975057467742,cd4-cd4
363,0.9194323236098215,cd4-cd8
363,0.9194323236098215,cd4-cd8
364,0.9327132188089712,cd4-cd4
364,0.9327132188089712,cd4-cd4
364,0.9189713082235598,cd4-cd8
364,0.9189713082235598,cd4-cd8
365,0.9304463880537547,cd4-cd4
365,0.9304463880537547,cd4-cd4
365,0.9185068674005955,cd4-cd8
365,0.9185068674005955,cd4-cd8
366,0.9281970423730561,cd4-cd4
366,0.9281970423730561,cd4-cd4
366,0.9180389903550821,cd4-cd8
366,0.9180389903550821,cd4-cd8
367,0.9259651979970526,cd4-cd4
367,0.9259651979970526,cd4-cd4
367,0.9175676668578105,cd4-cd8
367,0.9175676668578105,cd4-cd8
368,0.9237508592226328,cd4-cd4
368,0.9237508592226328,cd4-cd4
368,0.9170928872530253,cd4-cd8
368,0.9170928872530253,cd4-cd8
369,0.9215540191145131,cd4-cd4
369,0.9215540191145131,cd4-cd4
369,0.9166146424752343,cd4-cd8
369,0.9166146424752343,cd4-cd8
370,0.9193746601790049,cd4-cd4
370,0.9193746601790049,cd4-cd4
370,0.9161329240659941,cd4-cd8
370,0.9161329240659941,cd4-cd8
371,0.9172127550105762,cd4-cd4
371,0.9172127550105762,cd4-cd4
371,0.7953869835676771,cd8-cd8
371,0.8901506080627594,cd8-cd8
371,0.9156477241906479,cd4-cd8
371,0.9156477241906479,cd4-cd8
372,0.9150682669114713,cd4-cd4
372,0.9150682669114713,cd4-cd4
372,0.7799281294745933,cd8-cd8
372,0.9165054943227656,cd8-cd8
372,0.9151590356549927,cd4-cd8
372,0.9151590356549927,cd4-cd8
373,0.9129411504847605,cd4-cd4
373,0.9129411504847605,cd4-cd4
373,0.7688541858395881,cd8-cd8
373,0.9390000858453058,cd8-cd8
373,0.9146668519218542,cd4-cd8
373,0.9146668519218542,cd4-cd8
374,0.9108313522012773,cd4-cd4
374,0.9108313522012773,cd4-cd4
374,0.9598735511982749,cd8-cd8
374,0.9598735511982749,cd8-cd8
374,0.914171167127545,cd4-cd8
374,0.914171167127545,cd4-cd8
375,0.9087388109409779,cd4-cd4
375,0.9087388109409779,cd4-cd4
375,0.9800337696340773,cd8-cd8
375,0.9800337696340773,cd8-cd8
375,0.9136719760981818,cd4-cd8
375,0.9136719760981818,cd4-cd8
376,0.9066634585093194,cd4-cd4
376,0.9066634585093194,cd4-cd4
376,1.0,cd8-cd8
376,1.0,cd8-cd8
376,0.9131692743658354,cd4-cd8
376,0.9131692743658354,cd4-cd8
377,0.9046052201293049,cd4-cd4
377,0.9046052201293049,cd4-cd4
377,0.9126630581844896,cd4-cd8
377,0.9126630581844896,cd4-cd8
378,0.9025640149098805,cd4-cd4
378,0.9025640149098805,cd4-cd4
378,0.9121533245457824,cd4-cd8
378,0.9121533245457824,cd4-cd8
379,0.900539756291405,cd4-cd4
379,0.900539756291405,cd4-cd4
379,0.9116400711945022,cd4-cd8
379,0.9116400711945022,cd4-cd8
380,0.8985323524689321,cd4-cd4
380,0.8985323524689321,cd4-cd4
380,0.9111232966438125,cd4-cd8
380,0.9111232966438125,cd4-cd8
381,0.8965417067940623,cd4-cd4
381,0.8965417067940623,cd4-cd4
381,0.9106030001901778,cd4-cd8
381,0.9106030001901778,cd4-cd8
382,0.8945677181561318,cd4-cd4
382,0.8945677181561318,cd4-cd4
382,0.9100791819279623,cd4-cd8
382,0.9100791819279623,cd4-cd8
383,0.8926102813435078,cd4-cd4
383,0.8926102813435078,cd4-cd4
383,0.9095518427636754,cd4-cd8
383,0.9095518427636754,cd4-cd8
384,0.8906692873857603,cd4-cd4
384,0.8906692873857603,cd4-cd4
384,0.9090209844298321,cd4-cd8
384,0.9090209844298321,cd4-cd8
385,0.8887446238774748,cd4-cd4
385,0.8887446238774748,cd4-cd4
385,0.7078520666414114,cd8-cd8
385,0.908486609498405,cd4-cd8
385,0.908486609498405,cd4-cd8
386,0.8868361752844616,cd4-cd4
386,0.8868361752844616,cd4-cd4
386,0.7048358520558655,cd8-cd8
386,0.9079487213938342,cd4-cd8
386,0.9079487213938342,cd4-cd8
